semester,courseName,creditHour,grade,points,type,rmk
1,Programming Fundamentals,3,C-,1.67,C,
1,English Composition & Comprehension Lab,1,C,2,C,
1,Islamic Studies & Ethics,3,A,4,C,
1,Applied Physics,3,B,3,C,
1,Calculus & Analytical Geometry,3,C,2,C,
1,English Composition & Comprehension,3,C,2,C,
1,Programming Fundamentals Lab,1,C+,2.33,C,
2,Differential Equations,3,A-,3.67,C,
2,Pakistan Studies,3,B+,3.33,C,
2,Digital Logic Design,3,B-,2.67,C,
2,Object Oriented Programming Lab,1,B-,2.67,C,
2,Digital Logic Design Lab,1,A-,3.67,C,
2,Communication & Presentation Skills,3,C,2,C,
2,Object Oriented Programming,3,C,2,C,
3,Social Science Related,3,A,4,E,
3,Data Structures & Algorithms,3,D+,1.33,C,
3,Comp. Organization & Assembly Language,3,D,1,C,
3,Comp. Organization & Assembly Language Lab,1,A-,3.67,C,
3,Discrete Structures,3,C+,2.33,C,
3,Linear Algebra,3,C,2,C,
4,Economy Related,3,A,4,E,
4,Probability & Statistics,4,B+,3.33,C,
4,Operating Systems,3,A-,3.67,C,
4,Theory of Automata,3,D,1,C,
4,Operating Systems Lab,1,A-,3.67,C,
4,Domain CS Supporting,3,A,4,E,
5,Management Related,3,B-,2.67,E,
5,Database Systems Lab,1,C-,1.67,C,
5,Domain CS Core Lab,1,B+,3.33,C,
5,Database Systems,3,A-,3.67,C,
5,Domain CS Core,3,C+,2.33,C,
5,Domain CS Core,3,B-,2.67,C,
5,Design & Analysis of Algorithms,3,C+,2.33,C,
6,Computer Networks,3,C,2,C,
6,CS Elective,3,S,0,E,
6,Computer Networks Lab,1,A+,4,C,
6,Software Engineering,3,B-,2.67,C,
6,Artificial Intelligence,3,S,0,C,
6,Technical & Business Writing,3,S,0,C,
7,CS Elective,3,B+,3.33,C,
7,Information Security,3,C+,2.33,E,
7,CS Elective,3,B,3,E,
7,Final Year Project,3,A-,3.67,C,
7,CS Elective,3,D+,1.33,C,
8,Final Year Project,3,A,4,C,
8,CS Elective,3,A-,3.67,E,
8,Compiler Construction,3,B+,3.33,E,
8,Introduction to Info. & Comm. Technologies,3,C,2,E,
8,Management Related,3,A-,3.67,E,
